Frequency (Hz),Amplitude_dBFS,Phase_radians
29.0,-320.8464157270828,-1.0220303301686164
29.5,-332.63767231734386,0.3700197364339537
30.0,-319.2929880270995,-1.283233914051875
30.5,-336.6706840661725,-1.099632549476496
31.0,-317.52958241389854,-0.9114325974876513
31.5,-327.65307968188574,-2.9952654976260216
32.0,-322.7965432343572,-2.225593830915244
32.5,-317.4929285434619,1.0746660506975803
33.0,-319.09144447131587,2.2187522016755015
33.5,-332.1128050942715,-2.0362103675580503
34.0,-319.59864803948756,0.7243529851289999
34.5,-317.5371987598232,-2.105850311602552
35.0,-324.03296523126414,3.090365110653315
35.5,-316.28731337506997,2.037510666849896
36.0,-308.4251818004216,-0.8760387984690704
36.5,-313.00268285653976,-2.8850891474815215
37.0,-318.54258016035624,-2.563069183260468
37.5,-313.27922050774373,2.118945461973048
38.0,-309.28319785035865,-0.3750012805307523
38.5,-318.4624130214421,3.018567317147293
39.0,-312.9872614229292,1.7786329879953422
39.5,-306.3981701797559,1.3762734982319131
40.0,-315.2914781767928,2.302948495185256
40.5,-310.95976018930406,0.7375142587140747
41.0,-310.8189713316054,2.607577694201136
41.5,-308.0271663797761,-1.9232062936323544
42.0,-298.79137061818216,-1.9734174195604155
42.5,-313.2482096676273,1.6550357231409993
43.0,-309.45895103660735,2.7434100805228128
43.5,-304.97766195541567,-2.185120498563358
44.0,-302.85257911672613,-2.394568295400783
44.5,-303.7131215406009,1.159490194022914
45.0,-302.0681966135828,-2.0113777068743635
45.5,-314.5272152216226,-1.0811658376986037
46.0,-313.57333048178543,1.124677418813093
46.5,-304.82205896993395,-0.4171166087251831
47.0,-294.8384880043029,-1.2983680017947208
47.5,-296.13685845748785,-2.3220577653008285
48.0,-300.1439210953218,0.17659961852182549
48.5,-303.09576812030207,3.0797814270358086
49.0,-304.61019149904337,-1.1238030865859483
49.5,-298.8877448175405,1.8031920021090966
50.0,-295.6729270864803,0.8876591777563662
50.5,-292.12957741544716,1.6496032383082913
51.0,-293.70868111600134,0.24803936149572273
51.5,-297.28759624084387,-1.5838180571086902
52.0,-299.11321017475063,2.6195887421949973
52.5,-294.48313401423286,1.2082659143491494
53.0,-298.5733819180428,-1.7071969818527266
53.5,-295.74418376280835,2.748479170762282
54.0,-290.75002958224724,-1.69119977626536
54.5,-299.3027727156624,1.213256195800638
55.0,-302.25960861807425,-2.0882050702694417
55.5,-287.0975959061473,-2.398506892905569
56.0,-291.2311823156822,0.4584837640629809
56.5,-294.3210193586831,-1.85843045669295
57.0,-293.9009055163711,2.887032440485991
57.5,-283.422020889114,-0.6809038602767136
58.0,-283.2474784623024,-0.16889577872857012
58.5,-279.88607080793463,1.2893141853655095
59.0,-286.61597213391735,-2.4691474392209947
59.5,-281.8521105442738,1.1351880881908127
60.0,-294.6580730449761,-3.060338714986926
60.5,-287.16734109969997,-1.4853144105930498
61.0,-280.8861814327495,1.3645403247555863
61.5,-277.72212826561724,1.3348123721836878
62.0,-283.2878717974663,-2.4891521771197946
62.5,-275.2153894130473,2.257319502549689
63.0,-280.5460224785853,-0.6250157653480516
63.5,-296.88315638079723,-0.7587108345074386
64.0,-282.73819853863995,1.5896809936662324
64.5,-275.54081989049024,2.6775205329515215
65.0,-281.79807404832377,-1.480713382155035
65.5,-280.21917978782005,0.1945779053185049
66.0,-275.5130074982134,2.138397627959381
66.5,-281.4506841869563,0.5432287897141034
67.0,-277.389359082005,1.4623857782885694
67.5,-268.9932395167153,-2.5875865381678333
68.0,-275.80853182297454,-0.9903027586608618
68.5,-277.25063849342354,0.43951413604419
69.0,-268.54658685897516,-2.7228915327939576
69.5,-267.5418399661118,1.0598864771193544
70.0,-271.154318947004,0.5382134204976324
70.5,-271.1303222249507,1.3071236296318252
71.0,-266.12064767624656,3.1314778590894523
