run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_172553,melody_2,melody,10.416666666666668,-58.34181766775339,-58.34373479167209,-58.34277743649399,-123.5394059878362,-1.4652036371941548,-1.4641265101941063,0.0010771270000484723,0,0.0
20260225_172553,melody_2,melody,10.833333333333334,-59.092728033254794,-59.10164932074538,-59.09718757080932,-124.73940427559842,0.5669912807641753,0.5668012874922191,-0.00018999327195612367,0,0.0
20260225_172553,melody_2,melody,11.25,-53.74741425622204,-53.745099652763685,-53.746257396483685,-122.37026151771681,2.937191528556194,2.9365000812189628,-0.0006914473372310326,0,0.0
20260225_172553,melody_2,melody,11.666666666666668,-54.02973398373944,-54.02467683117932,-54.02720594946493,-119.33937564484567,-0.15355702816919664,-0.15447255694889286,-0.0009155287796962231,0,0.0
20260225_172553,melody_2,melody,12.083333333333334,-64.14329200010118,-64.14132816073786,-64.14231274477453,-126.08696318606215,-2.7316113224190617,-2.7331940670379304,-0.0015827446188687588,0,0.0
20260225_172553,melody_2,melody,12.5,-62.565636272778875,-62.563015136207916,-62.564325883054465,-133.18675918579368,2.6822827690198703,2.682788264484422,0.0005054954645515863,0,0.0
20260225_172553,melody_2,melody,12.916666666666668,-67.76983746873225,-67.77232594058817,-67.77109497829612,-122.8611046967859,2.680796694542127,2.6772884835563953,-0.003508210985731619,0,0.0
20260225_172553,melody_2,melody,13.333333333333334,-57.84009772028759,-57.82992920810295,-57.83501240913339,-121.37760457541984,-0.9861404113026112,-0.9867718974763109,-0.0006314861736996802,0,0.0
20260225_172553,melody_2,melody,13.75,-62.32135270597931,-62.29833503944748,-62.30983627771258,-119.84866360938759,2.4840434294967513,2.4838782637638595,-0.00016516573289182546,0,0.0
20260225_172553,melody_2,melody,14.166666666666668,-55.71447759435955,-55.706788862961616,-55.71063333765312,-119.51047931818158,0.2349093861543181,0.23396919399622373,-0.0009401921580943773,0,0.0
20260225_172553,melody_2,melody,14.583333333333334,-55.963150678340476,-55.96110532781752,-55.9621283387831,-125.74923978658349,-2.528721739848587,-2.5293255987629544,-0.0006038589143675388,0,0.0
20260225_172553,melody_2,melody,15.0,-55.475415316759246,-55.47703666535689,-55.476225953743906,-136.01664750123638,1.6789149223427224,1.6788931032203198,-2.181912240262207e-05,0,0.0
20260225_172553,melody_2,melody,15.416666666666668,-56.587863580276036,-56.59349260210101,-56.59067799154733,-123.87107885528492,-0.6577681789310648,-0.6571952780265934,0.000572900904471374,0,0.0
20260225_172553,melody_2,melody,15.833333333333334,-54.94490520911082,-54.94958028402937,-54.94724342254343,-120.16881797253198,-2.8665460670555944,-2.8655909259650683,0.0009551410905261903,0,0.0
20260225_172553,melody_2,melody,16.25,-54.09125286364335,-54.09934306131908,-54.095297324201645,-119.51949344135693,0.4422389663803827,0.44276779820864565,0.0005288318282629656,0,0.0
20260225_172553,melody_2,melody,16.666666666666668,-52.73352048218221,-52.73790503006091,-52.73571268801895,-122.25420392820438,-2.37347842982245,-2.3730401515302146,0.00043827829223541665,0,0.0
20260225_172553,melody_2,melody,17.083333333333336,-54.16291076812683,-54.163174800424784,-54.16304294767998,-128.3552500884063,1.1789879306901012,1.1793770641523058,0.0003891334622045939,0,0.0
20260225_172553,melody_2,melody,17.5,-57.65967322012946,-57.657461565376025,-57.65856738286719,-132.86698926606059,-0.8958280211637014,-0.8955919500725241,0.0002360710911772923,0,0.0
20260225_172553,melody_2,melody,17.916666666666668,-59.75527384797924,-59.74717809039544,-59.751225061518845,-126.22230013857113,2.529430909583034,2.5296118502138816,0.00018094063084772571,0,0.0
20260225_172553,melody_2,melody,18.333333333333336,-60.084505106288546,-60.07539218725353,-60.07994976223134,-121.01004915576796,-1.0226139044583586,-1.0211550962251836,0.001458808233175013,0,0.0
20260225_172553,melody_2,melody,18.75,-54.294789536788656,-54.29904631580503,-54.29691831105258,-121.10206005921506,1.642465046045857,1.6432361176051111,0.000771071559254155,0,0.0
20260225_172553,melody_2,melody,19.166666666666668,-56.07177553114576,-56.07568555374818,-56.07373033789531,-128.73202748652918,-1.7538131409977404,-1.7536937962360455,0.00011934476169495058,0,0.0
20260225_172553,melody_2,melody,19.583333333333336,-59.13197731762476,-59.13032679659307,-59.131152116520134,-134.115854862016,-2.784536515384345,-2.784837893212821,-0.0003013778284759461,0,0.0
20260225_172553,melody_2,melody,20.0,-54.10869736711783,-54.10579787671631,-54.107247501736865,-129.62883222226185,0.4542293685729778,0.4542566297710374,2.7261198059624903e-05,0,0.0
20260225_172553,melody_2,melody,20.416666666666668,-59.177564267061584,-59.174574809048,-59.17607015826336,-126.12177788650027,2.8355215651261876,2.8363520402895808,0.000830475163393185,0,0.0
20260225_172553,melody_2,melody,20.833333333333336,-58.23976272199492,-58.23894048978531,-58.23935287719376,-123.50873233176814,-0.6559140261216622,-0.6548278056300499,0.001086220491612222,0,0.0
20260225_172553,melody_2,melody,21.25,-60.52324856915514,-60.52164181000779,-60.522446910853944,-124.35824382867324,-2.959811406227525,-2.9585387829985277,0.0012726232289974604,0,0.0
20260225_172553,melody_2,melody,21.666666666666668,-67.09324577267382,-67.09362918690229,-67.09344241968593,-126.53038507985181,1.499659396410118,1.5017928822304112,0.0021334858202932683,0,0.0
20260225_172553,melody_2,melody,22.083333333333336,-65.34421747177336,-65.34633461390081,-65.3452773523769,-130.14386862187993,-0.14407263529278855,-0.1429476720464863,0.0011249632463022352,0,0.0
20260225_172553,melody_2,melody,22.5,-66.6659803305849,-66.6527328621768,-66.6593545488988,-128.26065924583776,1.448624784829242,1.447961198778769,-0.0006635860504728974,0,0.0
20260225_172553,melody_2,melody,22.916666666666668,-56.24146728017094,-56.234424447923544,-56.237945382283584,-122.85741974591873,-1.7948730896323963,-1.7944107755120409,0.000462314120355467,0,0.0
