Frequency_Hz,Magnitude_dBFS,Phase_rad
107.0,-9.022809726867209,2.8026578472766173
107.5,-21.457153611306342,-0.5538827679419012
108.0,-27.10888759004972,-2.4833268762476504
108.5,-15.211080119003995,-0.5364698274317509
109.0,-6.032049964671166,1.5744478713906915
109.5,-8.575840877491714,-2.988789649779261
110.0,-6.4896522804397545,1.7972570459025208
110.5,-10.65048269442949,1.2543926760993047
111.0,-20.896105871256076,-1.088970553176734
111.5,-19.19282236181901,-2.4256683027825967
112.0,-13.306110548439086,0.4560870434096688
112.5,-16.193025665758807,2.339917243969326
113.0,-16.4106937714562,1.5476207462445393
113.5,-17.697093375901787,1.3982435169447778
114.0,-9.452516912536934,0.5870056339178048
114.5,-11.367201154858712,0.7620255122432045
115.0,-21.084660323553468,1.5741929216196702
115.5,-7.786585283279633,0.2867783730645366
116.0,-22.31746318212207,2.9642871034144553
116.5,-12.642890966539145,2.5278822237736094
117.0,-12.908110070310276,-2.6433964752520684
117.5,-18.566835981976453,0.5697117556060944
118.0,-22.37884474783645,0.5228218807053772
118.5,-10.0741076500225,2.402863086202134
119.0,-12.79195432575882,-2.976946643738331
119.5,-10.803307606857821,1.5577349196975563
120.0,-17.277901954406556,1.550904079438743
120.5,-12.92892993859678,-2.244491756405999
121.0,-8.472376683613303,-0.6656140624305934
121.5,-9.511589968483046,-0.4706345171679606
122.0,-9.384912489713148,1.4379342486496105
122.5,-12.197925711392308,1.55966768256704
123.0,-8.346079296797322,0.43219995518247384
123.5,-7.262212879753488,0.7489429075885796
124.0,-11.161964955058096,-0.4706720364601009
124.5,-15.214186145007211,2.755147917753223
125.0,-17.3757435651751,0.4334465516138944
125.5,-7.531240177282448,-3.0619581487535723
126.0,-7.805525261512763,2.363306468294404
126.5,-6.450959312461424,1.5903670404379502
127.0,-21.95240687387685,1.4529515988550785
127.5,-11.866830129951682,2.615675761571859
128.0,-25.644660612296413,1.9166052958815842
128.5,-12.0324510015375,0.709520123815779
129.0,-23.981635080101633,-2.725410748017401
129.5,-25.32606104118163,-2.81937359535309
130.0,-7.64982504875671,1.861836054551113
130.5,-11.228268465077406,-1.3649960825933563
131.0,-7.984666600051652,-1.6013299612720977
131.5,-6.9065633146575,2.708325485465334
132.0,-22.306308558328425,0.4493034269089959
132.5,-4.260427320729024,-1.9127065703590749
133.0,-16.970261784363924,-2.9267292229236768
133.5,-14.010668897435774,0.6884707614320731
134.0,-11.140127626735817,-0.7264080282369747
134.5,-8.49465989151648,1.585927042192948
135.0,-9.92478081703799,1.4865010267483334
135.5,-10.748902383867895,2.308908427520938
136.0,-13.662202249836312,0.3826861066511955
136.5,-10.151853167191982,-2.1917226396503637
137.0,-20.752547121991434,0.3685139879913502
137.5,-13.534317572212624,0.21733391400497018
138.0,-12.022006872701374,2.1275547257586407
138.5,-12.497879990719603,-1.8023627440749677
139.0,-11.810104434750928,2.651017691716216
139.5,-8.935459197437774,2.8623604720111393
140.0,-8.204484994011683,-0.7015265367123859
140.5,-18.428150164965302,0.7953794512583036
141.0,-26.72987087410408,-2.7550864738708203
141.5,-15.354948406002242,1.1771178488953613
142.0,-25.971311401691608,-1.310375052182302
142.5,-12.022624126562135,-0.7043580513220997
143.0,-8.488015740733937,0.6025726545593855
143.5,-15.46267611210162,-0.593358867184384
144.0,-11.31957192023207,-1.2826598363761021
144.5,-24.88322419361083,2.4811140820012425
145.0,-20.979855536871618,2.825030260818296
145.5,-12.492441053740604,-2.4541276718965377
146.0,-25.0084400522292,1.7167062587247954
146.5,-13.06031950028634,-0.09853831558610832
147.0,-12.261451104276137,2.4303732437825207
147.5,-11.885704589156196,-2.402819955074516
148.0,-26.330250606008576,-2.288266682961829
148.5,-19.31211897970776,-2.3785516084575575
149.0,-10.726574431054763,-1.1682340944160823
149.5,-11.545616414344689,-3.0521654253184836
150.0,-14.791807218848042,0.1771360508654804
150.5,-15.435256078911411,2.252306199377745
151.0,-23.408776605273314,0.09822984148295644
151.5,-16.762706833796784,1.1374232033344112
152.0,-17.2451578213074,0.6878044814684947
152.5,-13.331748760367004,-2.6021860334992564
153.0,-15.396085471128005,1.0642345431239517
153.5,-14.53086215233494,0.8373731613158029
154.0,-12.011683609832474,-0.32230247175022886
154.5,-13.283707112704812,0.6231602838631479
155.0,-35.54211686341154,-2.835135235959796
155.5,-30.420755566331618,0.185170473487631
156.0,-6.336095050700835,-1.3164701287856042
156.5,-7.623525716868781,-2.9521796110620384
157.0,-12.200220258114472,3.1309644349020003
157.5,-16.329706347969932,-1.7938051466999374
158.0,-11.438276893701559,0.047233711092780704
158.5,-12.436364582968132,1.4782479397723203
159.0,-15.961032376561835,-2.4079423869781547
159.5,-14.81398836549686,-2.281380341811572
160.0,-13.526879110536058,-0.2215557999754503
160.5,-5.96845451077983,-2.717137074793294
161.0,-14.370490294011953,-2.2184494397600636
161.5,-12.184727192140905,-0.4302118386705368
162.0,-17.70847947065436,-0.5640083426931148
162.5,-4.931951774329965,2.099537743303533
163.0,-15.570620104195596,0.381978533021133
163.5,-23.716965022825352,-1.2765046222976717
164.0,-11.411381553884803,-0.7246525361308419
164.5,-9.18482251102502,-1.4615209530885869
165.0,-20.075778355840903,-2.798835434166849
165.5,-7.777407643683091,2.7224238042201043
166.0,-13.038632765979397,-2.672632048910652
166.5,-15.845761321334987,-0.5899641926882025
167.0,-14.735999689752468,-0.11083883738077528
167.5,-13.201631795028575,2.4154404244916727
168.0,-9.353653940375677,-1.2033875837404988
168.5,-6.272249133925747,1.5218839588140674
169.0,-23.711177783314774,2.607187681551163
169.5,-6.487478957922842,0.007105626710568545
170.0,-19.25483795391907,2.0906827187339885
170.5,-5.510399898297392,2.798382527949093
171.0,-12.402354431766994,-2.56459167837901
171.5,-14.062284990504432,1.482310898198979
172.0,-15.417280602235579,2.5915836366719422
172.5,-19.110942139425504,0.22881728884138425
173.0,-10.454884686892132,-2.721861923372719
173.5,-9.8380812582877,2.571948712899263
174.0,-22.747446672307035,-1.0441732792629541
174.5,-11.286357844245579,-0.8217115258438306
175.0,-17.676819626070788,2.898735588159629
175.5,-8.182761911008756,-1.4147215603494885
176.0,-18.365678992892196,-1.1756172876158755
176.5,-8.823122403830371,-1.9496526472185391
177.0,-6.661162709837352,1.6582485876833808
177.5,-7.7154522196350594,-0.822631814105206
