run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_154659,stim_5,stim,82.66666666666666,-50.98594788629255,-50.9859160645715,-50.98593197542125,-164.72220727125773,1.8897348804270413,1.889733009810825,-1.8706162163706352e-06,0,7.141291859774796
20260225_154659,stim_5,stim,84.0,-52.5259872770407,-52.52599526180479,-52.52599126944662,-164.80393735854204,-0.36941980881211006,-0.36941503088545585,4.777926654209175e-06,0,7.141291859774796
20260225_154659,stim_5,stim,85.33333333333333,-50.38737938788128,-50.387411053135544,-50.387395220495,-164.87544924231014,-2.030792464654343,-2.0307934348346506,-9.701803076467286e-07,0,7.141291859774796
20260225_154659,stim_5,stim,86.66666666666666,-51.0005248094506,-51.00049275773074,-51.00050878357848,-164.97828655102936,1.7457773876391742,1.745775841932476,-1.5457066981916512e-06,0,7.141291859774796
20260225_154659,stim_5,stim,88.0,-64.03547388525217,-64.03559881071898,-64.03553634787113,-165.16645524162416,-1.194097156208079,-1.1940870845815215,1.007162655763949e-05,0,7.141291859774796
20260225_154659,stim_5,stim,89.33333333333333,-62.352728511909675,-62.352835504234115,-62.35278200795723,-165.41002070911702,-1.3294764143644124,-1.3294696233245245,6.791039887987793e-06,0,7.141291859774796
20260225_154659,stim_5,stim,90.66666666666666,-65.17627652838699,-65.17642211777816,-65.17634932286002,-165.67126266404523,-1.3679243961628171,-1.3679156802578643,8.71590495288288e-06,0,7.141291859774796
20260225_154659,stim_5,stim,92.0,-63.760506446044374,-63.76045457917446,-63.7604805127861,-166.08781799187136,2.430641377190777,2.4306272916685328,-1.4085522244133841e-05,0,7.141291859774796
20260225_154659,stim_5,stim,93.33333333333333,-53.210226188967226,-53.210198380815605,-53.21021228488924,-166.55897956271548,0.5105480997231583,0.5105509721238456,2.872400687303767e-06,0,7.141291859774796
20260225_154659,stim_5,stim,94.66666666666666,-48.64718030411104,-48.647186571219464,-48.64718343767044,-167.01793562955027,3.0757481094096866,3.075745807187692,-2.3022219943769073e-06,0,7.141291859774796
20260225_154659,stim_5,stim,96.0,-47.692888844733545,-47.69288738301556,-47.69288811387888,-167.65344933107386,-0.30261491366973664,-0.30261291162839127,2.0020413453725183e-06,0,7.141291859774796
