Frequency (Hz),Window1 Gain,Window2 Gain
73.5,1.0033254770509812e-13,1.0033254770509812e-13
74.0,1.0762204778949913e-13,1.0762204778949913e-13
74.5,1.1543165781134053e-13,1.1543165781134053e-13
75.0,1.2379778806082802e-13,1.2379778806082802e-13
75.5,1.3275934701301525e-13,1.3275934701301525e-13
76.0,1.4235790912159182e-13,1.4235790912159182e-13
76.5,1.5263789363019481e-13,1.5263789363019481e-13
77.0,1.6364675510733736e-13,1.6364675510733736e-13
77.5,1.7543518645513695e-13,1.7543518645513695e-13
78.0,1.880573351887932e-13,1.880573351887932e-13
78.5,2.0157103383335292e-13,2.0157103383335292e-13
79.0,2.1603804533690846e-13,2.1603804533690846e-13
79.5,2.315243244551408e-13,2.315243244551408e-13
80.0,2.4810029612125463e-13,2.4810029612125463e-13
80.5,2.658411518780519e-13,2.658411518780519e-13
81.0,2.8482716551532934e-13,2.8482716551532934e-13
81.5,3.051440291262638e-13,3.051440291262638e-13
82.0,3.268832108710654e-13,3.268832108710654e-13
82.5,3.501423358153316e-13,3.501423358153316e-13
83.0,3.750255912943642e-13,3.750255912943642e-13
83.5,4.01644158343527e-13,4.01644158343527e-13
84.0,4.3011667082884603e-13,4.3011667082884603e-13
84.5,4.605697040117557e-13,4.605697040117557e-13
85.0,4.931382943874459e-13,4.931382943874459e-13
85.5,5.279664927481573e-13,5.279664927481573e-13
86.0,5.65207952541144e-13,5.65207952541144e-13
86.5,6.050265557165075e-13,6.050265557165075e-13
87.0,6.47597078392802e-13,6.47597078392802e-13
87.5,6.931058988089552e-13,6.931058988089552e-13
88.0,7.417517501798154e-13,7.417517501798154e-13
88.5,7.937465212301748e-13,7.937465212301748e-13
89.0,8.493161073487568e-13,8.493161073487568e-13
89.5,9.08701315480179e-13,9.08701315480179e-13
90.0,9.721588260594333e-13,9.721588260594333e-13
90.5,1.0399622154910405e-12,1.0399622154910405e-12
91.0,1.1124030428839404e-12,1.1124030428839404e-12
91.5,1.1897920049741505e-12,1.1897920049741505e-12
92.0,1.272460163401154e-12,1.272460163401154e-12
92.5,1.3607602487510446e-12,1.3607602487510446e-12
93.0,1.45506804604108e-12,1.45506804604108e-12
93.5,1.5557838665967152e-12,1.5557838665967152e-12
94.0,1.6633341115644308e-12,1.6633341115644308e-12
94.5,1.7781729326128927e-12,1.7781729326128927e-12
95.0,1.9007839957014047e-12,1.9007839957014047e-12
95.5,2.031682354140093e-12,2.031682354140093e-12
96.0,2.1714164375310593e-12,2.1714164375310593e-12
96.5,2.3205701635653817e-12,2.3205701635653817e-12
