Frequency (Hz),Window1 Gain,Window2 Gain
1105.5,6.3235117414102165e-27,6.3235117414102165e-27
1106.0,5.723636209064639e-27,5.723636209064639e-27
1106.5,5.1802412535766526e-27,5.1802412535766526e-27
1107.0,4.688049841419986e-27,4.688049841419986e-27
1107.5,4.242274093868468e-27,4.242274093868468e-27
1108.0,3.8385703114471085e-27,3.8385703114471085e-27
1108.5,3.4729980993165645e-27,3.4729980993165645e-27
1109.0,3.141983222858856e-27,3.141983222858856e-27
1109.5,2.8422838559500648e-27,2.8422838559500648e-27
1110.0,2.5709599146781443e-27,2.5709599146781443e-27
1110.5,2.325345196843281e-27,2.325345196843281e-27
1111.0,2.1030220727046544e-27,2.1030220727046544e-27
1111.5,1.9017984953281616e-27,1.9017984953281616e-27
1112.0,1.7196871197378673e-27,1.7196871197378673e-27
1112.5,1.5548863390650064e-27,1.5548863390650064e-27
1113.0,1.405763063182235e-27,1.405763063182235e-27
1113.5,1.2708370810599756e-27,1.2708370810599756e-27
1114.0,1.1487668624221508e-27,1.1487668624221508e-27
1114.5,1.0383366673353091e-27,1.0383366673353091e-27
1115.0,9.38444844251695e-28,9.38444844251695e-28
1115.5,8.480932078475925e-28,8.480932078475925e-28
1116.0,7.663773978476953e-28,7.663773978476953e-28
1116.5,6.924781289905313e-28,6.924781289905313e-28
1117.0,6.256532504484876e-28,6.256532504484876e-28
1117.5,5.6523054043980085e-28,5.6523054043980085e-28
1118.0,5.106011685252868e-28,5.106011685252868e-28
1118.5,4.612137642284439e-28,4.612137642284439e-28
1119.0,4.165690362092831e-28,4.165690362092831e-28
1119.5,3.762148913083402e-28,3.762148913083402e-28
1120.0,3.3974200740399433e-28,3.3974200740399433e-28
1120.5,3.0677981823400534e-28,3.0677981823400534e-28
1121.0,2.769928721589602e-28,2.769928721589602e-28
1121.5,2.5007753032516865e-28,2.5007753032516865e-28
1122.0,2.2575897284860293e-28,2.2575897284860293e-28
1122.5,2.0378848451838686e-28,2.0378848451838686e-28
1123.0,1.839409941334831e-28,1.839409941334831e-28
1123.5,1.660128439637332e-28,1.660128439637332e-28
1124.0,1.498197679872599e-28,1.498197679872599e-28
1124.5,1.3519505952020014e-28,1.3519505952020014e-28
1125.0,1.2198791063965023e-28,1.2198791063965023e-28
1125.5,1.100619074225024e-28,1.100619074225024e-28
1126.0,9.929366649661872e-29,9.929366649661872e-29
1126.5,8.957159973966892e-29,8.957159973966892e-29
1127.0,8.079479517730763e-29,8.079479517730763e-29
1127.5,7.287200323731448e-29,7.287200323731448e-29
1128.0,6.572071851989816e-29,6.572071851989816e-29
1128.5,5.926634815587704e-29,5.926634815587704e-29
1129.0,5.344145865220113e-29,5.344145865220113e-29
1129.5,4.8185093875966696e-29,4.8185093875966696e-29
1130.0,4.344215751056344e-29,4.344215751056344e-29
1130.5,3.916285393723416e-29,3.916285393723416e-29
1131.0,3.530218205786717e-29,3.530218205786717e-29
1131.5,3.181947708546325e-29,3.181947708546325e-29
1132.0,2.867799579219161e-29,2.867799579219161e-29
1132.5,2.5844541125617985e-29,2.5844541125617985e-29
1133.0,2.3289122485390247e-29,2.3289122485390247e-29
1133.5,2.0984648299101188e-29,2.0984648299101188e-29
1134.0,1.8906647850316418e-29,1.8906647850316418e-29
1134.5,1.7033019596928e-29,1.7033019596928e-29
1135.0,1.5343803476671525e-29,1.5343803476671525e-29
1135.5,1.382097493129732e-29,1.382097493129732e-29
1136.0,1.244825859372746e-29,1.244825859372746e-29
1136.5,1.1210959775556065e-29,1.1210959775556065e-29
1137.0,1.0095812067304675e-29,1.0095812067304675e-29
1137.5,9.090839522575145e-30,9.090839522575145e-30
1138.0,8.185232041171144e-30,8.185232041171144e-30
1138.5,7.369232696738436e-30,7.369232696738436e-30
1139.0,6.634035872770726e-30,6.634035872770726e-30
1139.5,5.971695178046452e-30,5.971695178046452e-30
1140.0,5.3750402097550025e-30,5.3750402097550025e-30
1140.5,4.83760132064772e-30,4.83760132064772e-30
1141.0,4.3535416263729374e-30,4.3535416263729374e-30
1141.5,3.917595561481953e-30,3.917595561481953e-30
1142.0,3.525013358128759e-30,3.525013358128759e-30
1142.5,3.171510880858852e-30,3.171510880858852e-30
1143.0,2.853224304670766e-30,2.853224304670766e-30
1143.5,2.5666691722532956e-30,2.5666691722532956e-30
1144.0,2.3087034104327243e-30,2.3087034104327243e-30
1144.5,2.0764939258281173e-30,2.0764939258281173e-30
1145.0,1.8674864359074588e-30,1.8674864359074588e-30
1145.5,1.6793782244086665e-30,1.6793782244086665e-30
1146.0,1.5100935397636813e-30,1.5100935397636813e-30
1146.5,1.3577613820278018e-30,1.3577613820278018e-30
1147.0,1.2206954481363123e-30,1.2206954481363123e-30
1147.5,1.097376027323829e-30,1.097376027323829e-30
1148.0,9.864336584669947e-31,9.864336584669947e-31
1148.5,8.86634379143372e-31,8.86634379143372e-31
1149.0,7.9686641251775e-31,7.9686641251775e-31
1149.5,7.1612815293341e-31,7.1612815293341e-31
1150.0,6.435173244458021e-31,6.435173244458021e-31
1150.5,5.782211986232873e-31,5.782211986232873e-31
1151.0,5.1950776887374464e-31,5.1950776887374464e-31
1151.5,4.667177884467249e-31,4.667177884467249e-31
1152.0,4.192575882062975e-31,4.192575882062975e-31
1152.5,3.7659259836059796e-31,3.7659259836059796e-31
1153.0,3.3824150565006778e-31,3.3824150565006778e-31
1153.5,3.037709841122212e-31,3.037709841122212e-31
1154.0,2.72790943522408e-31,2.72790943522408e-31
1154.5,2.4495024501760187e-31,2.4495024501760187e-31
1155.0,2.1993283829908226e-31,2.1993283829908226e-31
1155.5,1.974542792285677e-31,1.974542792285677e-31
1156.0,1.7725859062647865e-31,1.7725859062647865e-31
1156.5,1.5911543269040027e-31,1.5911543269040027e-31
1157.0,1.4281755271376685e-31,1.4281755271376685e-31
1157.5,1.2817848673223595e-31,1.2817848673223595e-31
1158.0,1.150304883881767e-31,1.150304883881767e-31
1158.5,1.0322266270965345e-31,1.0322266270965345e-31
1159.0,9.261928467370255e-32,9.261928467370255e-32
1159.5,8.309828438680974e-32,8.309828438680974e-32
1160.0,7.454988248871707e-32,7.454988248871707e-32
1160.5,6.687536098702891e-32,6.687536098702891e-32
1161.0,5.998595617618975e-32,5.998595617618975e-32
1161.5,5.380186160021138e-32,5.380186160021138e-32
1162.0,4.825133019748629e-32,4.825133019748629e-32
1162.5,4.326986583040178e-32,4.326986583040178e-32
1163.0,3.879949536333161e-32,3.879949536333161e-32
1163.5,3.4788113319878437e-32,3.4788113319878437e-32
1164.0,3.118889193303613e-32,3.118889193303613e-32
1164.5,2.7959750108434226e-32,2.7959750108434226e-32
1165.0,2.506287545832846e-32,2.506287545832846e-32
1165.5,2.246429413927537e-32,2.246429413927537e-32
1166.0,2.0133483745463124e-32,2.0133483745463124e-32
1166.5,1.804302497791164e-32,1.804302497791164e-32
1167.0,1.6168288232174058e-32,1.6168288232174058e-32
1167.5,1.4487151628195295e-32,1.4487151628195295e-32
1168.0,1.2979747349627605e-32,1.2979747349627605e-32
1168.5,1.1628233469844079e-32,1.1628233469844079e-32
1169.0,1.0416588721367816e-32,1.0416588721367816e-32
1169.5,9.330427917457049e-33,9.330427917457049e-33
1170.0,8.356835961798308e-33,8.356835961798308e-33
1170.5,7.484218587112707e-33,7.484218587112707e-33
1171.0,6.702168148145224e-33,6.702168148145224e-33
1171.5,6.0013429609546966e-33,6.0013429609546966e-33
1172.0,5.3733588304498744e-33,5.3733588304498744e-33
1172.5,4.810691543323972e-33,4.810691543323972e-33
1173.0,4.30658922537693e-33,4.30658922537693e-33
1173.5,3.854993572004984e-33,3.854993572004984e-33
1174.0,3.450469059552125e-33,3.450469059552125e-33
1174.5,3.088139334333022e-33,3.088139334333022e-33
1175.0,2.7636300564158747e-33,2.7636300564158747e-33
1175.5,2.473017547563497e-33,2.473017547563497e-33
1176.0,2.212782657858997e-33,2.212782657858997e-33
1176.5,1.979769324197511e-33,1.979769324197511e-33
1177.0,1.7711473466439437e-33,1.7711473466439437e-33
1177.5,1.584378956217588e-33,1.584378956217588e-33
1178.0,1.4171887904855568e-33,1.4171887904855568e-33
1178.5,1.267536931899113e-33,1.267536931899113e-33
1179.0,1.1335946985102261e-33,1.1335946985102261e-33
1179.5,1.0137229079446923e-33,1.0137229079446923e-33
1180.0,9.064523636228734e-34,9.064523636228734e-34
1180.5,8.104663375227493e-34,8.104663375227493e-34
1181.0,7.245848465501579e-34,7.245848465501579e-34
1181.5,6.477505400691906e-34,6.477505400691906e-34
1182.0,5.7901603458064885e-34,5.7901603458064885e-34
1182.5,5.175325481204334e-34,5.175325481204334e-34
1183.0,4.625397018691836e-34,4.625397018691836e-34
1183.5,4.13356369883609e-34,4.13356369883609e-34
1184.0,3.6937246992995872e-34,3.6937246992995872e-34
1184.5,3.300415992549699e-34,3.300415992549699e-34
1185.0,2.9487442889067493e-34,2.9487442889067493e-34
1185.5,2.634327788669258e-34,2.634327788669258e-34
1186.0,2.3532430459688744e-34,2.3532430459688744e-34
1186.5,2.101977317956445e-34,2.101977317956445e-34
1187.0,1.8773858366978451e-34,1.8773858366978451e-34
1187.5,1.676653498486749e-34,1.676653498486749e-34
1188.0,1.4972605168068832e-34,1.4972605168068832e-34
1188.5,1.336951631483796e-34,1.336951631483796e-34
1189.0,1.1937085081787478e-34,1.1937085081787478e-34
1189.5,1.0657249997687018e-34,1.0657249997687018e-34
1190.0,9.513849747521696e-35,9.513849747521696e-35
1190.5,8.492424480023498e-35,8.492424480023498e-35
1191.0,7.58003776302341e-35,7.58003776302341e-35
1191.5,6.765117054511213e-35,6.765117054511213e-35
1192.0,6.037310776032503e-35,6.037310776032503e-35
1192.5,5.387360271498025e-35,5.387360271498025e-35
1193.0,4.8069851108908345e-35,4.8069851108908345e-35
1193.5,4.288780356762878e-35,4.288780356762878e-35
1194.0,3.82612455363502e-35,3.82612455363502e-35
1194.5,3.4130973280984646e-35,3.4130973280984646e-35
1195.0,3.0444056020383046e-35,3.0444056020383046e-35
1195.5,2.7153175242848727e-35,2.7153175242848727e-35
1196.0,2.4216033183434367e-35,2.4216033183434367e-35
1196.5,2.1594823267272453e-35,2.1594823267272453e-35
1197.0,1.925575606790413e-35,1.925575606790413e-35
1197.5,1.716863499689691e-35,1.716863499689691e-35
1198.0,1.5306476539786038e-35,1.5306476539786038e-35
1198.5,1.3645170390543032e-35,1.3645170390543032e-35
1199.0,1.2163175318644384e-35,1.2163175318644384e-35
1199.5,1.0841247035046595e-35,1.0841247035046595e-35
1200.0,9.662194711059285e-36,9.662194711059285e-36
1200.5,8.610663151782374e-36,8.610663151782374e-36
1201.0,7.672937937566399e-36,7.672937937566399e-36
1201.5,6.836771126527169e-36,6.836771126527169e-36
1202.0,6.091225361810668e-36,6.091225361810668e-36
1202.5,5.4265344520325086e-36,5.4265344520325086e-36
1203.0,4.833978694772607e-36,4.833978694772607e-36
1203.5,4.305773393583093e-36,4.305773393583093e-36
1204.0,3.834969180820317e-36,3.834969180820317e-36
1204.5,3.4153629036619755e-36,3.4153629036619755e-36
1205.0,3.04141796065872e-36,3.04141796065872e-36
1205.5,2.708193092643506e-36,2.708193092643506e-36
1206.0,2.411278736181718e-36,2.411278736181718e-36
1206.5,2.1467401412397127e-36,2.1467401412397127e-36
1207.0,1.911066538505484e-36,1.911066538505484e-36
1207.5,1.7011257168176676e-36,1.7011257168176676e-36
1208.0,1.514123438355349e-36,1.514123438355349e-36
1208.5,1.3475671794204592e-36,1.3475671794204592e-36
1209.0,1.1992337385368874e-36,1.1992337385368874e-36
1209.5,1.0671403018460855e-36,1.0671403018460855e-36
1210.0,9.495185989861626e-37,9.495185989861626e-37
1210.5,8.447918213230112e-37,8.447918213230112e-37
1211.0,7.5155400903028116e-37,7.5155400903028116e-37
1211.5,6.685516445110484e-37,6.685516445110484e-37
1212.0,5.946672173976971e-37,5.946672173976971e-37
1212.5,5.289045511948676e-37,5.289045511948676e-37
1213.0,4.703757038505467e-37,4.703757038505467e-37
1213.5,4.182892744217598e-37,4.182892744217598e-37
1214.0,3.7193996579098624e-37,3.7193996579098624e-37
1214.5,3.3069926930446163e-37,3.3069926930446163e-37
1215.0,2.9400715144091744e-37,2.9400715144091744e-37
1215.5,2.6136463535479798e-37,2.6136463535479798e-37
1216.0,2.3232718152874176e-37,2.3232718152874176e-37
1216.5,2.0649878195742543e-37,2.0649878195742543e-37
1217.0,1.8352669139514881e-37,1.8352669139514881e-37
1217.5,1.6309672734573203e-37,1.6309672734573203e-37
1218.0,1.4492907775701387e-37,1.4492907775701387e-37
1218.5,1.2877456189406085e-37,1.2877456189406085e-37
1219.0,1.1441129568659578e-37,1.1441129568659578e-37
1219.5,1.0164171804964826e-37,1.0164171804964826e-37
1220.0,9.028993932749476e-38,9.028993932749476e-38
1220.5,8.019937716755171e-38,8.019937716755171e-38
1221.0,7.123064884558503e-38,7.123064884558503e-38
1221.5,6.325969238281628e-38,6.325969238281628e-38
1222.0,5.617609176129179e-38,5.617609176129179e-38
1222.5,4.988158419350462e-38,4.988158419350462e-38
1223.0,4.428872976930244e-38,4.428872976930244e-38
1223.5,3.931972591747599e-38,3.931972591747599e-38
1224.0,3.490535100796361e-38,3.490535100796361e-38
1224.5,3.098402310725052e-38,3.098402310725052e-38
1225.0,2.750096140576833e-38,2.750096140576833e-38
1225.5,2.4407439181099455e-38,2.4407439181099455e-38
1226.0,2.1660118361691102e-38,2.1660118361691102e-38
1226.5,1.9220456827944283e-38,1.9220456827944283e-38
1227.0,1.7054180544699104e-38,1.7054180544699104e-38
1227.5,1.5130813473507276e-38,1.5130813473507276e-38
1228.0,1.3423258975687387e-38,1.3423258975687387e-38
1228.5,1.190742709776072e-38,1.190742709776072e-38
1229.0,1.0561902738248566e-38,1.0561902738248566e-38
1229.5,9.367650236787289e-39,9.367650236787289e-39
1230.0,8.307750410120312e-39,8.307750410120312e-39
1230.5,7.367166490960969e-39,7.367166490960969e-39
1231.0,6.532535810624114e-39,6.532535810624114e-39
1231.5,5.7919844096544915e-39,5.7919844096544915e-39
1232.0,5.134962066920409e-39,5.134962066920409e-39
1232.5,4.5520955107628354e-39,4.5520955107628354e-39
1233.0,4.0350578193607405e-39,4.0350578193607405e-39
1233.5,3.576452234667028e-39,3.576452234667028e-39
1234.0,3.169708807929974e-39,3.169708807929974e-39
1234.5,2.8089924674728197e-39,2.8089924674728197e-39
1235.0,2.4891212533275478e-39,2.4891212533275478e-39
1235.5,2.2054936005258176e-39,2.2054936005258176e-39
1236.0,1.9540236751484674e-39,1.9540236751484674e-39
1236.5,1.7310838762314015e-39,1.7310838762314015e-39
1237.0,1.53345371376344e-39,1.53345371376344e-39
1237.5,1.3582743595681734e-39,1.3582743595681734e-39
1238.0,1.2030082449875956e-39,1.2030082449875956e-39
1238.5,1.0654031479996151e-39,1.0654031479996151e-39
1239.0,9.434602736157576e-40,9.434602736157576e-40
1239.5,8.354058859361797e-40,8.354058859361797e-40
1240.0,7.396660988088933e-40,7.396660988088933e-40
1240.5,6.548444752991978e-40,6.548444752991978e-40
1241.0,5.797021246994401e-40,5.797021246994401e-40
1241.5,5.131400201146793e-40,5.131400201146793e-40
1242.0,4.5418329020531595e-40,4.5418329020531595e-40
1242.5,4.019672658635799e-40,4.019672658635799e-40
1243.0,3.5572508681165117e-40,3.5572508681165117e-40
1243.5,3.1477669466112275e-40,3.1477669466112275e-40
1244.0,2.7851905815717285e-40,2.7851905815717285e-40
1244.5,2.4641749340406e-40,2.4641749340406e-40
1245.0,2.1799795706354943e-40,2.1799795706354943e-40
1245.5,1.9284020403869503e-40,1.9284020403869503e-40
1246.0,1.7057171318662003e-40,1.7057171318662003e-40
1246.5,1.508622953079997e-40,1.508622953079997e-40
1247.0,1.3341930718374545e-40,1.3341930718374545e-40
1247.5,1.1798340390054707e-40,1.1798340390054707e-40
1248.0,1.043247692417929e-40,1.043247692417929e-40
1248.5,9.223977062201215e-41,9.223977062201215e-41
1249.0,8.154799100288359e-41,8.154799100288359e-41
1249.5,7.208959552878101e-41,7.208959552878101e-41
1250.0,6.372299533231152e-41,6.372299533231152e-41
1250.5,5.632277515025028e-41,5.632277515025028e-41
1251.0,4.977785511517751e-41,4.977785511517751e-41
1251.5,4.398986039938919e-41,4.398986039938919e-41
1252.0,3.887167533093056e-41,3.887167533093056e-41
1252.5,3.434616121755286e-41,3.434616121755286e-41
1253.0,3.034501943925764e-41,3.034501943925764e-41
1253.5,2.6807783436024746e-41,2.6807783436024746e-41
1254.0,2.368092505306234e-41,2.368092505306234e-41
1254.5,2.0917062336925058e-41,2.0917062336925058e-41
1255.0,1.8474257324863282e-41,1.8474257324863282e-41
1255.5,1.6315393656965402e-41,1.6315393656965402e-41
1256.0,1.4407624984028678e-41,1.4407624984028678e-41
1256.5,1.272188615960592e-41,1.272188615960592e-41
1257.0,1.123246010655648e-41,1.123246010655648e-41
1257.5,9.916594049329752e-42,9.916594049329752e-42
1258.0,8.754159514360748e-42,8.754159514360748e-42
1258.5,7.72735113237527e-42,7.72735113237527e-42
1259.0,6.820419836968748e-42,6.820419836968748e-42
1259.5,6.019436551453892e-42,6.019436551453892e-42
1260.0,5.3120828976873964e-42,5.3120828976873964e-42
1260.5,4.6874658526388015e-42,4.6874658526388015e-42
1261.0,4.135953626410051e-42,4.135953626410051e-42
1261.5,3.6490303441835254e-42,3.6490303441835254e-42
1262.0,3.219167388559177e-42,3.219167388559177e-42
1262.5,2.839709501838764e-42,2.839709501838764e-42
1263.0,2.504773963482808e-42,2.504773963482808e-42
1263.5,2.20916134929057e-42,2.20916134929057e-42
1264.0,1.9482765485626454e-42,1.9482765485626454e-42
1264.5,1.7180588660303935e-42,1.7180588660303935e-42
1265.0,1.5149201688341165e-42,1.5149201688341165e-42
1265.5,1.3356901572179244e-42,1.3356901572179244e-42
1266.0,1.1775679425848514e-42,1.1775679425848514e-42
1266.5,1.0380792096333414e-42,1.0380792096333414e-42
1267.0,9.150383218152096e-43,9.150383218152096e-43
1267.5,8.065148025091628e-43,8.065148025091628e-43
1268.0,7.10803689148403e-43,7.10803689148403e-43
1268.5,6.26399315015868e-43,6.26399315015868e-43
1269.0,5.51972124358619e-43,5.51972124358619e-43
1269.5,4.8634817161411365e-43,4.8634817161411365e-43
1270.0,4.284909955411322e-43,4.284909955411322e-43
1270.5,3.774855944897844e-43,3.774855944897844e-43
1271.0,3.3252426044542813e-43,3.3252426044542813e-43
1271.5,2.9289405729780772e-43,2.9289405729780772e-43
1272.0,2.5796575342778184e-43,2.5796575342778184e-43
1272.5,2.271840405285958e-43,2.271840405285958e-43
1273.0,2.0005888990841688e-43,2.0005888990841688e-43
1273.5,1.7615791463861795e-43,1.7615791463861795e-43
1274.0,1.5509962107026515e-43,1.5509962107026515e-43
1274.5,1.365474466626588e-43,1.365474466626588e-43
1275.0,1.2020449295035543e-43,1.2020449295035543e-43
1275.5,1.05808872994561e-43,1.05808872994561e-43
1276.0,9.312960197656866e-44,9.312960197656866e-44
1276.5,8.19629678330906e-44,8.19629678330906e-44
1277.0,7.212932612796332e-44,7.212932612796332e-44
1277.5,6.347026981037887e-44,6.347026981037887e-44
1278.0,5.584613022228088e-44,5.584613022228088e-44
1278.5,4.913377077218109e-44,4.913377077218109e-44
1279.0,4.322463916467906e-44,4.322463916467906e-44
1279.5,3.802304803118714e-44,3.802304803118714e-44
1280.0,3.3444657307077543e-44,3.3444657307077543e-44
1280.5,2.941513479596294e-44,2.941513479596294e-44
1281.0,2.586897409964767e-44,2.586897409964767e-44
1281.5,2.274845151349646e-44,2.274845151349646e-44
1282.0,2.0002705628031908e-44,2.0002705628031908e-44
1282.5,1.758692527071771e-44,1.758692527071771e-44
1283.0,1.5461633095697123e-44,1.5461633095697123e-44
1283.5,1.3592053608995968e-44,1.3592053608995968e-44
1284.0,1.1947555724776326e-44,1.1947555724776326e-44
1284.5,1.0501161104441029e-44,1.0501161104441029e-44
1285.0,9.229110552297762e-45,9.229110552297762e-45
1285.5,8.110481644600419e-45,8.110481644600419e-45
1286.0,7.126851566855453e-45,7.126851566855453e-45
1286.5,6.261999839453013e-45,6.261999839453013e-45
1287.0,5.5016462347270914e-45,5.5016462347270914e-45
1287.5,4.8332197389761457e-45,4.8332197389761457e-45
1288.0,4.245654899216927e-45,4.245654899216927e-45
1288.5,3.7292123239323664e-45,3.7292123239323664e-45
1289.0,3.2753204864212424e-45,3.2753204864212424e-45
1289.5,2.876436314366551e-45,2.876436314366551e-45
1290.0,2.5259223450855985e-45,2.5259223450855985e-45
1290.5,2.21793848715222e-45,2.21793848715222e-45
1291.0,1.9473466597262154e-45,1.9473466597262154e-45
1291.5,1.709626784549837e-45,1.709626784549837e-45
1292.0,1.5008027853241258e-45,1.5008027853241258e-45
1292.5,1.3173774078453001e-45,1.3173774078453001e-45
1293.0,1.156274814324953e-45,1.156274814324953e-45
1293.5,1.0147900289116788e-45,1.0147900289116788e-45
1294.0,8.905444204994665e-46,8.905444204994665e-46
1294.5,7.814465051495426e-46,7.814465051495426e-46
1295.0,6.85657435366383e-46,6.85657435366383e-46
1295.5,6.0156061838432305e-46,6.0156061838432305e-46
1296.0,5.277349717089828e-46,5.277349717089828e-46
1296.5,4.629313824525826e-46,4.629313824525826e-46
1297.0,4.060519884197236e-46,4.060519884197236e-46
1297.5,3.561319442470996e-46,3.561319442470996e-46
1298.0,3.123233758899813e-46,3.123233758899813e-46
1298.5,2.7388126201096815e-46,2.7388126201096815e-46
1299.0,2.4015101191760312e-46,2.4015101191760312e-46
1299.5,2.1055753710657074e-46,2.1055753710657074e-46
1300.0,1.845956376368731e-46,1.845956376368731e-46
1300.5,1.6182154585493754e-46,1.6182154585493754e-46
1301.0,1.4184548876938758e-46,1.4184548876938758e-46
1301.5,1.243251469197549e-46,1.243251469197549e-46
1302.0,1.0895990216545405e-46,1.0895990216545405e-46
1302.5,9.548577967057005e-47,9.548577967057005e-47
1303.0,8.367100068169361e-47,8.367100068169361e-47
1303.5,7.331207267070721e-47,7.331207267070721e-47
1304.0,6.423035220171635e-47,6.423035220171635e-47
1304.5,5.626902362183499e-47,5.626902362183499e-47
1305.0,4.929044349345451e-47,4.929044349345451e-47
1305.5,4.3173806690333676e-47,4.3173806690333676e-47
1306.0,3.781309536791879e-47,3.781309536791879e-47
1306.5,3.311527667490288e-47,3.311527667490288e-47
1307.0,2.899871917310697e-47,2.899871917310697e-47
1307.5,2.539180154267563e-47,2.539180154267563e-47
1308.0,2.2231690327483066e-47,2.2231690327483066e-47
1308.5,1.9463266273143046e-47,1.9463266273143046e-47
1309.0,1.703818127234222e-47,1.703818127234222e-47
1309.5,1.491403009938139e-47,1.491403009938139e-47
1310.0,1.305362302302939e-47,1.305362302302939e-47
1310.5,1.142434706509173e-47,1.142434706509173e-47
1311.0,9.997605148829988e-48,9.997605148829988e-48
1311.5,8.748323680644393e-48,8.748323680644393e-48
1312.0,7.65452025144913e-48,7.65452025144913e-48
1312.5,6.696924149675854e-48,6.696924149675854e-48
1313.0,5.858643262259339e-48,5.858643262259339e-48
1313.5,5.1248717178418754e-48,5.1248717178418754e-48
1314.0,4.4826333105312197e-48,4.4826333105312197e-48
1314.5,3.9205563441259474e-48,3.9205563441259474e-48
1315.0,3.4286760656904067e-48,3.4286760656904067e-48
1315.5,2.998261322439145e-48,2.998261322439145e-48
1316.0,2.6216624847640074e-48,2.6216624847640074e-48
1316.5,2.292178037664318e-48,2.292178037664318e-48
1317.0,2.0039375587774298e-48,2.0039375587774298e-48
1317.5,1.7517990788878748e-48,1.7517990788878748e-48
1318.0,1.5312590648348908e-48,1.5312590648348908e-48
1318.5,1.3383734791913742e-48,1.3383734791913742e-48
1319.0,1.1696885595292321e-48,1.1696885595292321e-48
1319.5,1.0221801256526416e-48,1.0221801256526416e-48
1320.0,8.93200368639834e-49,8.93200368639834e-49
1320.5,7.804312033144487e-49,7.804312033144487e-49
1321.0,6.818433780096243e-49,6.818433780096243e-49
1321.5,5.9566063407200106e-49,5.9566063407200106e-49
1322.0,5.20328294134108e-49,5.20328294134108e-49
1322.5,4.5448573421594226e-49,4.5448573421594226e-49
1323.0,3.9694226148083466e-49,3.9694226148083466e-49
1323.5,3.466559780901501e-49,3.466559780901501e-49
1324.0,3.027152630667043e-49,3.027152630667043e-49
1324.5,2.6432254925596987e-49,2.6432254925596987e-49
1325.0,2.3078011213253945e-49,2.3078011213253945e-49
1325.5,2.0147762200796072e-49,2.0147762200796072e-49
1326.0,1.7588124174576523e-49,1.7588124174576523e-49
1326.5,1.5352407889886666e-49,1.5352407889886666e-49
1327.0,1.3399782470962953e-49,1.3399782470962953e-49
1327.5,1.1694543305418797e-49,1.1694543305418797e-49
1328.0,1.020547105220972e-49,1.020547105220972e-49
1328.5,8.905270470933658e-50,8.905270470933658e-50
1329.0,7.770079173853185e-50,7.770079173853185e-50
1329.5,6.779037624365688e-50,6.779037624365688e-50
1330.0,5.913912777697784e-50,5.913912777697784e-50
1330.5,5.158768699743949e-50,5.158768699743949e-50
1331.0,4.499678324383735e-50,4.499678324383735e-50
1331.5,3.9244712324688122e-50,3.9244712324688122e-50
1332.0,3.422512969433212e-50,3.422512969433212e-50
1332.5,2.984511974075191e-50,2.984511974075191e-50
1333.0,2.6023506780973937e-50,2.6023506780973937e-50
1333.5,2.268937762881679e-50,2.268937762881679e-50
1334.0,1.9780789341264073e-50,1.9780789341264073e-50
1334.5,1.7243639028641704e-50,1.7243639028641704e-50
1335.0,1.503067548708787e-50,1.503067548708787e-50
1335.5,1.310063492943473e-50,1.310063492943473e-50
1336.0,1.1417485296437532e-50,1.1417485296437532e-50
1336.5,9.94976556272704e-51,9.94976556272704e-51
1337.0,8.670008144680625e-51,8.670008144680625e-51
1337.5,7.554234000160916e-51,7.554234000160916e-51
1338.0,6.581511308757207e-51,6.581511308757207e-51
1338.5,5.733569758492191e-51,5.733569758492191e-51
1339.0,4.9944634609260233e-51,4.9944634609260233e-51
1339.5,4.350276388669106e-51,4.350276388669106e-51
1340.0,3.78886499286898e-51,3.78886499286898e-51
1340.5,3.299633326698248e-51,3.299633326698248e-51
1341.0,2.873336586044543e-51,2.873336586044543e-51
1341.5,2.5019094908174974e-51,2.5019094908174974e-51
1342.0,2.178316378598614e-51,2.178316378598614e-51
1342.5,1.896420274713152e-51,1.896420274713152e-51
1343.0,1.6508685461467124e-51,1.6508685461467124e-51
1343.5,1.4369930471649797e-51,1.4369930471649797e-51
1344.0,1.2507229273591533e-51,1.2507229273591533e-51
1344.5,1.0885085028131249e-51,1.0885085028131249e-51
1345.0,9.472547922683247e-52,9.472547922683247e-52
1345.5,8.242634961396052e-52,8.242634961396052e-52
1346.0,7.171823501533727e-52,7.171823501533727e-52
1346.5,6.239609199922347e-52,6.239609199922347e-52
1347.0,5.428120210491618e-52,5.428120210491618e-52
1347.5,4.721780503308086e-52,4.721780503308086e-52
1348.0,4.107016075517997e-52,4.107016075517997e-52
1348.5,3.571998611490216e-52,3.571998611490216e-52
1349.0,3.1064218373306287e-52,3.1064218373306287e-52
1349.5,2.701306416236825e-52,2.701306416236825e-52
1350.0,2.3488297567255125e-52,2.3488297567255125e-52
1350.5,2.0421775650976386e-52,2.0421775650976386e-52
1351.0,1.7754143749165623e-52,1.7754143749165623e-52
1351.5,1.5433706370396043e-52,1.5433706370396043e-52
1352.0,1.3415442602246397e-52,1.3415442602246397e-52
1352.5,1.1660147601009437e-52,1.1660147601009437e-52
1353.0,1.013368408215032e-52,1.013368408215032e-52
1353.5,8.806329772015026e-53,8.806329772015026e-53
1354.0,7.65220856608473e-53,7.65220856608473e-53
1354.5,6.648794697892024e-53,6.648794697892024e-53
1355.0,5.776480584039944e-53,5.776480584039944e-53
1355.5,5.018200199511796e-53,5.018200199511796e-53
